power,WEA0,WEA1,WEA2,WEA3
114040042.38,28314242.43,29567014.31,27936954.53,28221831.12
110188113.12,26632795.8,29018946.27,27230728.06,27305643.0
106271198.19,26314729.84,27697911.92,25728839.18,26529717.25
